game_id,game_key,official_name,position,jersey_number,official_id,old_game_id,season_type,season,week
2020_01_HOU_KC,58168,Scott Helverson,Back Judge,93,83,2020091000,REG,2020,1
2020_01_HOU_KC,58168,Clete Blakeman,Referee,34,119,2020091000,REG,2020,1
2020_01_HOU_KC,58168,Mark Hittner,Down Judge,28,118,2020091000,REG,2020,1
2020_01_HOU_KC,58168,Tom Stephan,Line Judge,68,41,2020091000,REG,2020,1
2020_01_HOU_KC,58168,Joe Blubaugh,Field Judge,57,185,2020091000,REG,2020,1
2020_01_HOU_KC,58168,Michael Banks,Side Judge,72,20,2020091000,REG,2020,1
2020_01_HOU_KC,58168,Fred Bryan,Umpire,11,98,2020091000,REG,2020,1
2020_01_SEA_ATL,58169,Tom Hill,Field Judge,97,78,2020091300,REG,2020,1
2020_01_SEA_ATL,58169,Sarah Thomas,Down Judge,53,107,2020091300,REG,2020,1
2020_01_SEA_ATL,58169,Chad Hill,Side Judge,125,181,2020091300,REG,2020,1
2020_01_SEA_ATL,58169,Carl Johnson,Line Judge,101,117,2020091300,REG,2020,1
2020_01_SEA_ATL,58169,Shawn Hochuli,Referee,83,113,2020091300,REG,2020,1
2020_01_SEA_ATL,58169,Rich Martinez,Back Judge,39,93,2020091300,REG,2020,1
2020_01_SEA_ATL,58169,Ramon George,Umpire,128,153,2020091300,REG,2020,1
2020_01_CLE_BAL,58170,Patrick Holt,Down Judge,106,182,2020091301,REG,2020,1
2020_01_CLE_BAL,58170,Ronald Torbert,Referee,62,104,2020091301,REG,2020,1
2020_01_CLE_BAL,58170,James Coleman,Field Judge,95,6,2020091301,REG,2020,1
2020_01_CLE_BAL,58170,Jim Mello,Line Judge,48,2,2020091301,REG,2020,1
2020_01_CLE_BAL,58170,Jonah Monroe,Side Judge,120,148,2020091301,REG,2020,1
2020_01_CLE_BAL,58170,Mark Pellis,Umpire,131,85,2020091301,REG,2020,1
2020_01_CLE_BAL,58170,Greg Yette,Back Judge,38,79,2020091301,REG,2020,1
2020_01_NYJ_BUF,58171,Dyrol Prioleau,Field Judge,109,81,2020091302,REG,2020,1
2020_01_NYJ_BUF,58171,Dino Paganelli,Back Judge,105,16,2020091302,REG,2020,1
2020_01_NYJ_BUF,58171,Michael Dolce,Down Judge,123,186,2020091302,REG,2020,1
