season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id,weeks_active_reg,weeks_active_post
2002,ARI,C,NA,64,NA,Steven Grace,Steven,Grace,1979-02-13,6-3,296,Arizona,NA,00-0021054,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA052503.png,NA,NA,NA,NA,1;14;15;16;17,NA
2002,ARI,C,NA,50,NA,Jason Starkey,Jason,Starkey,1977-07-15,6-4,297,Marshall,NA,00-0019518,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STA573574.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2002,ARI,C,NA,48,NA,Nathan Hodel,Nathan,Hodel,1977-11-12,6-2,245,Illinois,NA,00-0019834,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOD104287.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2002,ARI,C,NA,60,NA,Mike Gruttadauria,Mike,Gruttadauria,1972-12-06,6-3,280,UCF,NA,00-0006516,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRU771855.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14,NA
2002,ARI,CB,NA,36,NA,David Barrett,David,Barrett,1977-12-22,5-10,198,Arkansas,NA,00-0019469,NA,NA,NA,653,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAR591346.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2002,ARI,CB,NA,22,NA,Duane Starks,Duane,Starks,1974-05-23,5-10,172,Miami (Fla.),NA,00-0015577,NA,NA,NA,334,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STA575276.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2002,ARI,CB,NA,21,NA,Renaldo Hill,Renaldo,Hill,1978-11-12,5-11,183,Michigan State,NA,00-0020301,NA,NA,NA,919,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HIL570463.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2002,ARI,DB,NA,27,NA,Nijrell Eason,Nijrell,Eason,1979-05-20,6-0,204,Arizona State,NA,00-0020017,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/EAS427290.png,NA,NA,NA,NA,17,NA
2002,ARI,DB,NA,44,NA,Michael Stone,Michael,Stone,1978-02-13,5-11,197,Memphis,NA,00-0020383,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STO426574.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,NA
2002,ARI,DB,NA,47,NA,Don Morgan,Don,Morgan,1975-09-18,5-11,202,Nevada,NA,00-0018587,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOR161495.png,NA,NA,NA,NA,1;2;3;4;5;6;7;8;9;10;11;13,NA
