team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp
ARI,C,NA,66,NA,Pete Kendall,Pete,Kendall,1973-07-09,6-5,292,Boston College,NA,00-0009137,NA,NA,NA,NA,163,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KEN043723.png,NA,NA,NA
ARI,C,NA,50,NA,Jason Starkey,Jason,Starkey,1977-07-15,6-4,282,Marshall,NA,00-0019518,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STA573574.png,NA,NA,NA
ARI,CB,NA,21,NA,Renaldo Hill,Renaldo,Hill,1978-11-12,5-11,182,Michigan State,NA,00-0020301,NA,NA,NA,NA,919,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HIL570463.png,NA,NA,NA
ARI,CB,NA,36,NA,David Barrett,David,Barrett,1977-12-22,5-10,195,Arkansas,NA,00-0019469,NA,NA,NA,NA,653,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAR591346.png,NA,NA,NA
ARI,CB,NA,28,NA,Duane Starks,Duane,Starks,1974-05-23,5-10,170,Miami (Fla.),NA,00-0015577,NA,NA,NA,NA,334,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STA575276.png,NA,NA,NA
ARI,CB,NA,23,NA,Coby Rhinehart,Coby,Rhinehart,1977-02-07,5-11,191,Southern Methodist,NA,00-0013623,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RHI444955.png,NA,NA,NA
ARI,DB,NA,25,NA,Jason Goss,Jason,Goss,1979-10-04,5-11,189,Texas Christian,NA,00-0021741,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GOS211716.png,NA,NA,NA
ARI,DB,NA,27,NA,Nijrell Eason,Nijrell,Eason,1979-05-20,6-1,202,Arizona State,NA,00-0020017,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/EAS427290.png,NA,NA,NA
ARI,DB,NA,44,NA,Michael Stone,Michael,Stone,1978-02-13,5-11,189,Memphis,NA,00-0020383,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STO426574.png,NA,NA,NA
ARI,DB,NA,26,NA,Emmanuel McDaniel,Emmanuel,McDaniel,1972-07-27,5-9,180,East Carolina,NA,00-0010785,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCD048550.png,NA,NA,NA
ARI,DE,NA,96,NA,Dennis Johnson,Dennis,Johnson,1979-12-04,6-5,258,Kentucky,NA,00-0021086,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH187803.png,NA,NA,NA
ARI,DE,NA,93,NA,Kyle Vanden Bosch,Kyle,Vanden Bosch,1978-11-17,6-4,270,Nebraska,NA,00-0020382,NA,NA,NA,NA,804,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/VAN378810.png,NA,NA,NA
ARI,DE,NA,97,NA,Fred Wakefield,Fred,Wakefield,1978-09-17,6-7,289,Illinois,NA,00-0020024,NA,NA,NA,NA,999,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAK168981.png,NA,NA,NA
ARI,DE,NA,79,NA,Calvin Pace,Calvin,Pace,1980-10-28,6-4,269,Wake Forest,NA,00-0022120,NA,NA,NA,NA,1334,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PAC125680.png,NA,NA,NA
ARI,DT,NA,69,NA,Ryan Atoe,Ryan,Atoe,1980-02-24,6-2,315,Idaho,NA,00-0021739,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ATO177981.png,NA,NA,NA
ARI,DT,NA,72,NA,Kenny King,Kenny,King,1981-04-23,6-3,281,Alabama,NA,00-0021916,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KIN562512.png,NA,NA,NA
ARI,DT,NA,94,NA,Marcus Bell,Marcus,Bell,1979-06-01,6-2,323,Memphis,NA,00-0020297,NA,NA,NA,NA,871,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BEL476336.png,NA,NA,NA
ARI,DT,NA,91,NA,Wendell Bryant,Wendell,Bryant,1980-09-12,6-5,308,Wisconsin,NA,00-0021384,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY736183.png,NA,NA,NA
ARI,DT,NA,98,NA,Russell Davis,Russell,Davis,1975-03-28,6-4,306,North Carolina,NA,00-0004046,NA,NA,NA,NA,471,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV722013.png,NA,NA,NA
ARI,DT,NA,92,NA,Barron Tanner,Barron,Tanner,1973-09-14,6-3,347,Oklahoma,NA,00-0016041,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAN404038.png,NA,NA,NA
ARI,DT,NA,95,NA,Derrick Ransom,Derrick,Ransom,1976-09-13,6-3,306,Cincinnati,NA,00-0013418,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RAN740836.png,NA,NA,NA
ARI,FB,NA,42,NA,James Hodgins,James,Hodgins,1977-04-30,6-1,270,San Jose State,NA,00-0007546,NA,NA,NA,NA,554,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOD543222.png,NA,NA,NA
ARI,FS,NA,34,NA,Dexter Jackson,Dexter,Jackson,1977-07-28,6-0,203,Florida State,NA,00-0008115,NA,NA,NA,NA,503,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JAC128971.png,NA,NA,NA
ARI,G,NA,63,NA,Frank Garcia,Frank,Garcia,1972-01-28,6-2,302,Washington,NA,00-0005753,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAR085105.png,NA,NA,NA
ARI,G,NA,75,NA,Leonard Davis,Leonard,Davis,1978-09-05,6-6,370,Texas,NA,00-0020533,NA,NA,NA,NA,774,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV527481.png,NA,NA,NA
ARI,G,NA,67,NA,Chris Dishman,Chris,Dishman,1974-02-27,6-3,323,Nebraska,NA,00-0004336,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DIS613185.png,NA,NA,NA
ARI,G,NA,76,NA,Cameron Spikes,Cameron,Spikes,1976-11-06,6-4,323,Texas A&M,NA,00-0015471,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SPI237055.png,NA,NA,NA
ARI,G,NA,71,NA,Teag Whiting,Teag,Whiting,1979-04-16,6-3,320,Brigham Young,NA,00-0020943,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WHI661988.png,NA,NA,NA
ARI,G,NA,73,NA,Raleigh Roundtree,Raleigh,Roundtree,1975-08-31,6-5,330,South Carolina State,NA,00-0014086,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROU158616.png,NA,NA,NA
ARI,K,NA,7,NA,Bill Gramatica,Bill,Gramatica,1978-07-10,5-10,192,South Florida,NA,00-0020296,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA269674.png,NA,NA,NA
ARI,K,NA,6,NA,Tim Duncan,Tim,Duncan,1979-06-12,6-2,209,Oklahoma,NA,00-0021052,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DUN382497.png,NA,NA,NA
ARI,K,NA,1,NA,Neil Rackers,Neil,Rackers,1976-08-16,6-0,205,Illinois,NA,00-0019676,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RAC540222.png,NA,NA,NA
