season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp
2005,ARI,C,NA,63,NA,Bill Conaty,Bill,Conaty,1973-03-08,6-2,300,Virginia Tech,NA,00-0003356,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CON010381.png,NA,NA,NA
2005,ARI,C,NA,60,NA,Nick Leckey,Nick,Leckey,1982-03-12,6-3,298,Kansas State,NA,00-0022904,NA,NA,NA,NA,1885,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LEC297966.png,NA,NA,NA
2005,ARI,C,NA,65,NA,Shawn Lynch,Shawn,Lynch,1979-07-25,6-4,294,Duke,NA,00-0020776,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LYN622935.png,NA,NA,NA
2005,ARI,C,NA,71,NA,Alex Stepanovich,Alex,Stepanovich,1981-09-25,6-4,304,Ohio State,NA,00-0022788,NA,NA,NA,NA,1821,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/STE342127.png,NA,NA,NA
2005,ARI,CB,NA,27,NA,David Macklin,David,Macklin,1978-07-14,5-10,200,Penn State,NA,00-0019563,NA,NA,NA,NA,647,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAC601067.png,NA,NA,NA
2005,ARI,DB,NA,20,NA,Lamont Reid,Lamont,Reid,1982-05-04,5-11,203,North Carolina State,NA,00-0023224,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/REI330447.png,NA,NA,NA
2005,ARI,DB,NA,21,NA,Antrel Rolle,Antrel,Rolle,1982-12-16,6-0,206,Miami (Fla.),NA,00-0023443,NA,NA,NA,NA,2225,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROL403288.png,NA,NA,NA
2005,ARI,DB,NA,35,NA,Ernest Shazor,Ernest,Shazor,1983-07-04,6-4,229,Michigan,NA,00-0023227,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHA825259.png,NA,NA,NA
2005,ARI,DB,NA,23,NA,Raymond Walls,Raymond,Walls,1979-07-24,5-11,189,Southern Mississippi,NA,00-0020324,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAL567006.png,NA,NA,NA
2005,ARI,DB,NA,47,NA,Aaron Francisco,Aaron,Francisco,1983-07-05,6-2,206,Brigham Young,NA,00-0023213,NA,NA,NA,NA,2594,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FRA212200.png,NA,NA,NA
2005,ARI,DB,NA,25,NA,Eric Green,Eric,Green,1982-03-16,5-11,188,Virginia Tech,NA,00-0023510,NA,NA,NA,NA,2292,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRE188533.png,NA,NA,NA
2005,ARI,DB,NA,37,NA,Adrian Mayes,Adrian,Mayes,1980-11-17,6-1,215,LSU,NA,00-0022386,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAY337636.png,NA,NA,NA
2005,ARI,DB,NA,26,NA,Robert Tate,Robert,Tate,1973-10-19,5-11,195,Cincinnati,NA,00-0016061,NA,NA,NA,NA,286,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAT441792.png,NA,NA,NA
2005,ARI,DB,NA,38,NA,Dyshod Carter,Dyshod,Carter,1978-06-18,5-10,195,Kansas State,NA,00-0019945,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAR647565.png,NA,NA,NA
2005,ARI,DE,NA,92,NA,Bertrand Berry,Bertrand,Berry,1975-08-15,6-3,277,Notre Dame,NA,00-0001176,NA,NA,NA,NA,267,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BER460580.png,NA,NA,NA
2005,ARI,DE,NA,94,NA,Antonio Cochran,Antonio,Cochran,1976-06-21,6-4,299,Georgia,NA,00-0003161,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COC108154.png,NA,NA,NA
2005,ARI,DE,NA,67,NA,Antonio Smith,Antonio,Smith,1981-10-21,6-3,274,Oklahoma State,NA,00-0022793,NA,NA,NA,NA,1856,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI040937.png,NA,NA,NA
2005,ARI,DE,NA,56,NA,Chike Okeafor,Chike,Okeafor,1976-03-27,6-5,265,Purdue,NA,00-0012333,NA,NA,NA,NA,493,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OKE059326.png,NA,NA,NA
2005,ARI,DE,NA,97,NA,Calvin Pace,Calvin,Pace,1980-10-28,6-4,270,Wake Forest,NA,00-0022120,NA,NA,NA,NA,1334,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PAC125680.png,NA,NA,NA
2005,ARI,DE,NA,70,NA,Anton Palepoi,Anton,Palepoi,1978-11-19,6-3,283,Nevada-Las Vegas,NA,00-0021188,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PAL144687.png,NA,NA,NA
2005,ARI,DT,NA,90,NA,Darnell Dockett,Darnell,Dockett,1981-05-27,6-4,293,Florida State,NA,00-0022930,NA,NA,NA,NA,1785,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOC428041.png,NA,NA,NA
2005,ARI,DT,NA,91,NA,Langston Moore,Langston,Moore,1981-07-17,6-1,303,South Carolina,NA,00-0021907,NA,NA,NA,NA,1479,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOO468609.png,NA,NA,NA
2005,ARI,DT,NA,95,NA,Kenny King,Kenny,King,1981-04-23,6-4,271,Alabama,NA,00-0021916,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KIN562512.png,NA,NA,NA
2005,ARI,DT,NA,93,NA,Tim Bulman,Tim,Bulman,1982-10-31,6-3,294,Boston College,NA,00-0023219,NA,NA,NA,NA,2515,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUL698188.png,NA,NA,NA
2005,ARI,FB,NA,33,NA,Harold Morrow,Harold,Morrow,1973-02-24,5-11,232,Auburn,NA,00-0011718,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOR682237.png,NA,NA,NA
2005,ARI,FB,NA,42,NA,James Hodgins,James,Hodgins,1977-04-30,6-1,264,San Jose State,NA,00-0007546,NA,NA,NA,NA,554,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOD543222.png,NA,NA,NA
2005,ARI,FS,NA,34,NA,Robert Griffith,Robert,Griffith,1970-11-30,6-0,200,San Diego State,NA,00-0006459,NA,NA,NA,NA,104,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRI448524.png,NA,NA,NA
2005,ARI,G,NA,73,NA,Jeremy Bridges,Jeremy,Bridges,1980-04-19,6-4,301,Southern Mississippi,NA,00-0021974,NA,NA,NA,NA,1488,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRI127961.png,NA,NA,NA
2005,ARI,G,NA,74,NA,Reggie Wells,Reggie,Wells,1980-11-03,6-4,320,Clarion,NA,00-0021911,NA,NA,NA,NA,1482,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WEL570156.png,NA,NA,NA
2005,ARI,G,NA,61,NA,Elton Brown,Elton,Brown,1982-05-22,6-4,339,Virginia,NA,00-0023546,NA,NA,NA,NA,2328,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO418258.png,NA,NA,NA
2005,ARI,G,NA,69,NA,Rolando Cantu,Rolando,Cantu,1981-02-25,6-5,337,No College,NA,00-0022953,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAN795231.png,NA,NA,NA
2005,ARI,G,NA,76,NA,Ian Allen,Ian,Allen,1978-07-22,6-4,310,Purdue,NA,00-0020201,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALL415272.png,NA,NA,NA
2005,ARI,K,NA,1,NA,Neil Rackers,Neil,Rackers,1976-08-16,6-1,207,Illinois,NA,00-0019676,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RAC540222.png,NA,NA,NA
2005,ARI,K,NA,3,NA,Nick Novak,Nick,Novak,1981-08-21,5-11,191,Maryland,Albemarle (VA),00-0023096,9329,47cfc2a1-2b81-430e-8b30-ff5129e5c601,7505,4661,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/NOV427288.png,4354,168,NA
2005,ARI,LB,NA,55,NA,Darryl Blackstock,Darryl,Blackstock,1983-05-30,6-3,240,Virginia,NA,00-0023530,NA,NA,NA,NA,2312,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BLA327026.png,NA,NA,NA
2005,ARI,LB,NA,52,NA,Lance Mitchell,Lance,Mitchell,1981-10-09,6-2,250,Oklahoma,NA,00-0023601,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MIT400514.png,NA,NA,NA
2005,ARI,LB,NA,59,NA,Eric Johnson,Eric,Johnson,1976-04-30,6-0,241,Nebraska,NA,00-0018982,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH227154.png,NA,NA,NA
2005,ARI,LB,NA,53,NA,Isaac Keys,Isaac,Keys,1978-06-06,6-3,265,Morehouse,NA,00-0020281,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KEY561412.png,NA,NA,NA
2005,ARI,LB,NA,96,NA,R-Kal Truluck,R-Kal,Truluck,1974-09-30,6-4,260,Cortland State (NY),NA,00-0016635,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TRU567222.png,NA,NA,NA
2005,ARI,LB,NA,54,NA,Gerald Hayes,Gerald,Hayes,1980-10-10,6-1,247,Pittsburgh,NA,00-0021941,NA,NA,NA,NA,1385,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAY169450.png,NA,NA,NA
2005,ARI,LS,NA,48,NA,Nathan Hodel,Nathan,Hodel,1977-11-12,6-2,248,Illinois,NA,00-0019834,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HOD104287.png,NA,NA,NA
2005,ARI,MLB,NA,51,NA,James Darling,James,Darling,1974-12-29,6-1,247,Washington State,NA,00-0003902,NA,NA,NA,NA,255,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAR366462.png,NA,NA,NA
2005,ARI,NT,NA,98,NA,Russell Davis,Russell,Davis,1975-03-28,6-4,306,North Carolina,NA,00-0004046,NA,NA,NA,NA,471,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV722013.png,NA,NA,NA
2005,ARI,NT,NA,72,NA,Ross Kolodziej,Ross,Kolodziej,1978-05-11,6-3,292,Wisconsin,NA,00-0020412,NA,NA,NA,NA,931,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KOL728546.png,NA,NA,NA
2005,ARI,OLB,NA,57,NA,Orlando Huff,Orlando,Huff,1978-08-14,6-3,250,Fresno State,NA,00-0020360,NA,NA,NA,NA,859,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HUF237307.png,NA,NA,NA
