season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,pfr_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id
2012,ARI,C,NA,62,RES,Ryan Bartholomew,Ryan,Bartholomew,1988-03-21,6-1,310,Syracuse,NA,00-0028272,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAR726560.png,NA,NA,NA,NA
2012,ARI,C,NA,66,ACT,Scott Wedige,Scott,Wedige,1988-11-20,6-4,310,Northern Illinois,NA,00-0029356,NA,NA,NA,7495,WediSc00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WED604060.png,NA,NA,NA,NA
2012,ARI,C,NA,72,RES,Rich Ohrnberger,Rich,Ohrnberger,1986-02-14,6-2,300,Penn State,NA,00-0026909,NA,NA,NA,5047,OhrnRi20,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OHR444955.png,NA,NA,NA,NA
2012,ARI,C,NA,63,RES,Lyle Sendlein,Lyle,Sendlein,1984-03-16,6-3,308,Texas,NA,00-0025682,NA,NA,NA,4062,SendLy20,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SEN108904.png,NA,NA,NA,NA
2012,ARI,CB,NA,28,ACT,Greg Toler,Greg,Toler,1985-01-02,6-0,192,St. Paul's (VA),NA,00-0026910,NA,NA,NA,5055,ToleGr99,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TOL296694.png,NA,NA,NA,NA
2012,ARI,CB,NA,31,ACT,Justin Bethel,Justin,Bethel,1990-06-17,6-0,190,Presbyterian,Blythewood (SC),00-0029530,15089,25887,8306,7654,BethJu00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BET201235.png,14469,1216,NA,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3
2012,ARI,CB,NA,NA,DEV,Greg McCoy,Greg,McCoy,1988-09-08,5-10,178,Texas Christian,NA,00-0029307,NA,NA,NA,7204,McCoGr00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCC605341.png,NA,NA,NA,NA
2012,ARI,CB,NA,23,ACT,Jamell Fleming,Jamell,Fleming,1989-05-05,5-11,206,Oklahoma,NA,00-0029639,NA,NA,NA,7082,FlemJa00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FLE257221.png,NA,NA,NA,NA
2012,ARI,CB,NA,41,CUT,Larry Parker,Larry,Parker,1989-01-17,5-11,176,San Diego State,NA,00-0029488,NA,NA,NA,NA,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PAR354586.png,NA,NA,NA,NA
2012,ARI,CB,NA,21,ACT,Patrick Peterson,Patrick,Peterson,1990-07-11,6-1,219,LSU,Ely (FL),00-0027943,13980,24792,7300,6157,PetePa00,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET415511.png,13415,972,NA,9f3b934e-52d6-4e16-ae92-d3e60be10493
