season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,yahoo_id,rotowire_id,pff_id,headshot_url,fantasy_data_id,sleeper_id,years_exp,sportradar_id
2019,ARI,C,NA,60,CUT,Jacob Ohnesorge,Jacob,Ohnesorge,NA,6-2,294,South Dakota State,NA,00-0034896,3049048,31801,12709,45591,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/OHN200481.png,20546,5805,NA,d06b5a20-97d9-477f-bd3b-bb454575c8a8
2019,ARI,C,NA,53,ACT,A.Q. Shipley,A.Q.,Shipley,1986-05-22,6-1,307,Penn State,Moon Area (PA),00-0026950,12726,9490,6215,5150,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHI382248.png,13610,1011,NA,f7163bae-d4da-4d38-847e-e0315605b9d0
2019,ARI,C,NA,65,ACT,Lamont Gaillard,Lamont,Gaillard,1996-02-08,6-3,305,Georgia,Pine Forest (NC),00-0035536,3128707,32011,13678,46618,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAI059631.png,20763,6058,NA,0c8b0581-9ed2-488b-bcaa-ef783261dfd1
2019,ARI,CB,NA,27,SUS,Josh Shaw,Josh,Shaw,1992-03-27,6-1,197,USC,Palmdale (CA),00-0032168,2971605,28508,10420,9553,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHA641197.png,16881,2425,NA,1686f2b7-90e8-4d0a-89f8-415310ae2bd8
2019,ARI,CB,NA,30,ACT,Jalen Davis,Jalen,Davis,1996-02-02,5-10,185,Utah State,Helix (CA),00-0034446,3125356,31534,13263,50431,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DAV420337.png,20157,5222,NA,57a21028-b3a1-494b-ade8-7e94c7108823
2019,ARI,CB,NA,33,ACT,Byron Murphy,Byron,Murphy,1998-01-18,5-11,190,Washington,Saguaro (AZ),00-0035236,4038999,31865,13560,44027,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MUR405853.png,20888,5864,NA,c025b513-9431-4097-bc25-9777bf08f846
2019,ARI,CB,NA,22,CUT,Trevor Williams,Trevor,Williams,1993-09-15,5-11,191,Penn State,Calvert Hall (MD),00-0032916,2979605,29534,11494,11004,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL547615.png,18202,3438,NA,e7f4b773-e944-4b62-a67b-fa0968862a37
2019,ARI,CB,NA,26,RES,Brandon Williams,Brandon,Williams,1992-09-09,6-0,200,Texas A&M,Royal (TX),00-0032769,2972286,29326,10901,10726,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL000008.png,15561,1696,NA,cdb10720-0d41-4cb6-9fb8-c00713754a1e
2019,ARI,CB,NA,NA,DEV,Sojourn Shelton,Sojourn,Shelton,1994-12-25,5-9,168,Wisconsin,Plantation (FL),00-0033612,3045278,30495,12029,12021,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SHE443431.png,19411,4532,NA,6311b3ee-d514-415a-941c-4bda88a6bb55
2019,ARI,CB,NA,28,CUT,Deatrick Nichols,Deatrick,Nichols,1994-06-08,5-10,189,South Florida,NA,00-0034481,3126311,31314,12758,50381,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/NIC163369.png,20086,5159,NA,2238219b-a0bc-464f-b83d-ff902e65bb87
2019,ARI,CB,NA,27,RES,Kevin Peterson,Kevin,Peterson,1994-03-22,5-11,185,Oklahoma State,Wagoner (OK),00-0032848,2977742,29924,11101,11302,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET345726.png,18293,3527,NA,30e539c3-74dd-4a9a-9ebb-4bdd0f0d39f8
2019,ARI,CB,NA,21,ACT,Patrick Peterson,Patrick,Peterson,1990-07-11,6-1,203,LSU,Ely (FL),00-0027943,13980,24792,7300,6157,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET415511.png,13415,972,NA,9f3b934e-52d6-4e16-ae92-d3e60be10493
2019,ARI,CB,NA,23,RES,Robert Alford,Robert,Alford,1988-11-01,5-10,186,Southeastern Louisiana,Hammond (LA),00-0030528,15817,26683,8645,7841,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALF657259.png,15177,1540,NA,4f5ca039-21f3-4045-9c2e-c0b4d5d564c5
2019,ARI,DB,NA,25,ACT,Chris Jones,Chris,Jones,1995-08-13,6-0,200,Nebraska,Lake Howell (FL),00-0034641,17070,27839,9384,49339,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JON000007.png,20711,5815,NA,10d49d75-aa4a-4d26-b9b5-c74f4e3c9ac8
2019,ARI,DB,NA,38,ACT,Chris Banjo,Chris,Banjo,1990-02-26,5-10,207,Southern Methodist,Kempner (TX),00-0029747,15782,26621,9101,8419,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAN373418.png,15011,1442,NA,6c7704c2-f833-46aa-9f9c-d975d5ad1297
2019,ARI,DB,NA,28,ACT,Charles Washington,Charles,Washington,1993-03-10,5-10,192,Fresno State,Crespi (CA),00-0032560,2579163,29781,11341,11137,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAS082938.png,18521,3714,NA,7757384a-6b03-41fb-9c77-3c016a968d1c
2019,ARI,DB,NA,39,CUT,Tyler Sigler,Tyler,Sigler,1996-03-26,6-2,215,Wheaton,NA,00-0035568,4331772,32568,14250,94381,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SIG392102.png,21557,6668,NA,e634c38b-d446-4111-a7e5-3c46345f55b0
2019,ARI,DB,NA,NA,DEV,Duke Thomas,Duke,Thomas,1994-05-21,5-10,192,Texas,Copperas Cove (TX),00-0032735,2971734,29808,11475,11170,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/THO000001.png,18546,3735,NA,7e5aaa20-df98-403f-92df-c3cc2ca9907d
2019,ARI,DB,NA,22,ACT,Andre Chachere,Andre,Chachere,1996-02-10,6-0,200,San Jose State,Clovis West (CA),00-0034623,3125287,31573,12922,51194,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CHA014180.png,20604,5674,NA,9fe24e8f-360b-4ca6-8e46-6d60d8728efa
2019,ARI,DE,NA,63,CUT,Peli Anau,Peli,Anau,1993-10-26,6-3,282,Northern Arizona,NA,00-0034012,NA,30917,12329,48586,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ANA638910.png,19703,4793,NA,7c71541b-048b-43de-8b27-1c9cfd43f0c0
2019,ARI,DE,NA,91,ACT,Michael Dogbe,Michael,Dogbe,1996-05-05,6-3,280,Temple,Parsippany Hills (NJ),00-0035541,3138765,32081,13709,48850,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/DOG464761.png,21141,6304,NA,cf0c253d-45bd-48f5-9602-88c3d9ca1082
2019,ARI,DE,NA,97,RES,Zach Allen,Zach,Allen,1997-08-20,6-5,285,Boston College,New Canaan (CT),00-0035248,3915282,31897,13742,49605,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ALL656181.png,20738,5871,NA,f68685e7-9904-47bc-b39a-e1c813435385
2019,ARI,DE,NA,92,ACT,Zach Kerr,Zach,Kerr,1990-08-29,6-2,334,Delaware,Quince Orchard (MD),00-0031105,17071,27905,9637,9195,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KER593782.png,16226,1965,NA,5165ce25-382b-4809-83b7-8c66d93c2aef
2019,ARI,DE,NA,NA,DEV,Lyndon Johnson,Lyndon,Johnson,1994-05-23,6-5,287,Cincinnati,NA,00-0034520,3914155,31267,13042,38557,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH447301.png,20304,5473,NA,0ae84f6d-1523-4ae8-883a-149539dcd7b3
2019,ARI,DE,NA,90,RES,Jonathan Bullard,Jonathan,Bullard,1993-10-22,6-3,296,Florida,Crest (NC),00-0033093,2980097,29306,10926,10706,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUL366378.png,18002,3241,NA,ccfcbd2c-6e35-49b9-b131-ba2143665260
2019,ARI,DE,NA,71,CUT,Sterling Bailey,Sterling,Bailey,1992-09-13,6-3,296,Georgia,NA,00-0032344,2578530,29596,10874,10926,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAI629414.png,18185,3421,NA,41cc3ce0-53fb-4a83-8612-00b527328e75
2019,ARI,DT,NA,93,RES,Clinton McDonald,Clinton,McDonald,1987-01-06,6-2,297,Memphis,Jacksonville (AR),00-0026964,12692,9513,7202,5173,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCD242013.png,12460,757,NA,c3b6a5da-b9a5-415a-8239-1fd92dd34b80
2019,ARI,DT,NA,98,ACT,Corey Peters,Corey,Peters,1988-06-08,6-3,335,Kentucky,Central (KY),00-0027686,13292,24058,6682,5607,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PET099667.png,11437,608,NA,a50e3085-370b-4fd2-b79a-28d3b9c5c1c7
2019,ARI,DT,NA,95,RES,Rodney Gunter,Rodney,Gunter,1992-01-19,6-5,305,Delaware State,Haines City (FL),00-0032131,2507719,28504,10455,9549,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GUN730129.png,16877,2421,NA,e4a401ce-3740-4e6b-8dcf-f2b41a3beeb9
2019,ARI,DT,NA,93,CUT,Darius Philon,Darius,Philon,1994-01-22,6-1,286,Arkansas,Vigor (AL),00-0032116,2980071,28580,10330,9625,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PHI676018.png,16952,2493,NA,61b04d13-ebdb-49eb-9f5a-ea85355d6360
2019,ARI,DT,NA,96,CUT,Vincent Valentine,Vincent,Valentine,1994-02-23,6-3,331,Nebraska,NA,00-0032396,2974333,29330,10950,10730,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/VAL459261.png,18021,3260,NA,89781fd0-0817-4de8-ac16-c9cf095b333e
2019,ARI,DT,NA,96,CUT,Pasoni Tasini,Pasoni,Tasini,1993-05-31,6-3,307,Utah,NA,00-0033614,3122879,30497,12537,12023,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/TAS338575.png,19413,4534,NA,c9b212ad-7893-4b0d-9d65-38b283894a5a
2019,ARI,DT,NA,94,ACT,Caraun Reid,Caraun,Reid,1991-11-23,6-2,292,Princeton,Mount Saint Michael (NY),00-0031071,16853,27686,9395,8793,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/REI254895.png,16463,2126,NA,aa82ed23-934e-451f-ac47-65c63a84bf16
2019,ARI,K,NA,5,ACT,Zane Gonzalez,Zane,Gonzalez,1995-05-07,6-0,202,Arizona State,Deer Park (TX),00-0033862,3043234,30337,11831,NA,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GON750924.png,19079,4233,NA,cd0f4ef0-9914-4125-be4d-804a72350ceb
2019,ARI,LB,NA,44,ACT,Keishawn Bierria,Keishawn,Bierria,1995-07-26,6-1,223,Washington,NA,00-0034422,3052161,31187,12917,50812,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BIE716450.png,20017,5338,NA,3b10d2d7-f361-4bc2-93ca-1bbe414b1862
2019,ARI,LB,NA,NA,DEV,Jamey Mosley,Jamey,Mosley,1996-03-28,6-5,248,Alabama,NA,00-0035506,3126363,32529,14226,28100,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MOS391551.png,21233,6327,NA,d01f2455-60cc-486f-b8c4-9716f9e85b1b
