season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,fantasy_data_id,sleeper_id,update_dt,headshot_url
2020,ARI,C,C,52,Active,Mason Cole,Mason,Cole,1996-03-28,6-5,292,Michigan,East Lake (FL),00-0034785,3115972,53d25371-e3ce-4030-8d0a-82def5cdc600,31067,12795,45547,19898,5062,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115972.png
2020,ARI,C,C,53,Active,Lamont Gaillard,Lamont,Gaillard,1996-02-08,6-3,305,Georgia,Pine Forest (NC),00-0035536,3128707,0c8b0581-9ed2-488b-bcaa-ef783261dfd1,32011,13678,46618,20763,6058,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128707.png
2020,ARI,CB,NB,33,Active,Byron Murphy,Byron,Murphy,1998-01-18,5-11,190,Washington,Saguaro (AZ),00-0035236,4038999,c025b513-9431-4097-bc25-9777bf08f846,31865,13560,44027,20888,5864,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4038999.png
2020,ARI,CB,NA,20,Active,Prince Amukamara,Prince,Amukamara,1989-06-06,6-0,204,Nebraska,Apollo (AZ),00-0027957,13975,f1879cfa-4c07-4140-9da0-c7ebe9af2dfd,24806,7509,6171,13135,908,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13975.png
2020,ARI,CB,NA,39,Active,Jace Whittaker,Jace,Whittaker,1995-07-16,5-11,185,Arizona,Oceanside (CA),00-0036043,3821572,528bf5c9-1d23-40c3-adda-df21f8f0e2ab,33089,14793,50465,22171,7169,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3821572.png
2020,ARI,CB,LCB,27,Active,Kevin Peterson,Kevin,Peterson,1994-03-22,5-11,185,Oklahoma State,Wagoner (OK),00-0032848,2977742,30e539c3-74dd-4a9a-9ebb-4bdd0f0d39f8,29924,11101,11302,18293,3527,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2977742.png
2020,ARI,CB,RCB,25,Active,Johnathan Joseph,Johnathan,Joseph,1984-04-16,5-11,185,South Carolina,Northwestern (SC),00-0024239,9610,06dab231-dbbd-4ccb-8233-3c2d70318ee3,7773,4768,2969,4490,172,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9610.png
2020,ARI,CB,LCB,23,Active,Robert Alford,Robert,Alford,1988-10-31,5-10,186,Southeastern Louisiana,Hammond (LA),00-0030528,15817,4f5ca039-21f3-4045-9c2e-c0b4d5d564c5,26683,8645,7841,15177,1540,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15817.png
2020,ARI,CB,LCB,21,Active,Patrick Peterson,Patrick,Peterson,1990-07-11,6-1,203,Louisiana State,Ely (FL),00-0027943,13980,9f3b934e-52d6-4e16-ae92-d3e60be10493,24792,7300,6157,13415,972,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13980.png
2020,ARI,CB,RCB,20,Active,Dre Kirkpatrick,Dre,Kirkpatrick,1989-10-26,6-2,190,Alabama,Gadsden City (AL),00-0029560,14940,e972d67d-8302-4c64-9c1c-bc3121b90af4,25727,8163,7023,13871,1068,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14940.png
2020,ARI,DB,NA,38,Active,Chris Miller,Chris,Miller,1997-10-06,6-0,191,Baylor,Lone Star (TX),00-0036060,4035402,2d969b4e-4da9-4bf6-abd7-02c5e607c080,33287,14692,NA,21941,7432,2021-02-28T07:10:51Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4035402.png
