season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url
2021,ARI,CB,RCB,7,Active,Byron Murphy,Byron,Murphy,1998-01-18,71,190,Washington,Saguaro (AZ),00-0035236,4038999,c025b513-9431-4097-bc25-9777bf08f846,31865,13560,44027,MurpBy00,20888,5864,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kd2eu8ugfgnv98qm88x6"
2021,ARI,CB,RCB,21,Active,Breon Borders,Breon,Borders,1995-07-22,72,189,Duke,Statesville (NC),00-0033435,3048663,d0fa2103-69a1-4ed0-a3cd-4eb8d5e342c2,30623,12097,39398,BordBr00,19300,4439,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uajgaowhpexewjakamce"
2021,ARI,CB,RCB,33,Active,Antonio Hamilton,Antonio,Hamilton,1993-01-24,72,188,South Carolina State,Strom Thurmond (SC),00-0032933,3056354,9bc107dc-1920-49db-b009-436d1a77955d,29957,11518,11353,HamiAn01,18658,3838,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ed99pz29nayfa4nbi8ob"
2021,ARI,CB,LCB,21,Inactive,Malcolm Butler,Malcolm,Butler,1990-03-02,5-11,190,West Alabama,Vicksburg (MS),00-0031218,17435,ab49bafe-7023-46ce-9606-9a9823eabee6,28244,9944,9040,ButlMa01,16035,1834,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bxlmaevbg6vghvi9ppxa"
2021,ARI,CB,NA,35,Active,Picasso Nelson,Picasso,Nelson,1996-04-15,5-10,195,Southern Mississippi,Oak Grove (MS),00-0035368,3123966,cff07c85-137a-4496-8df9-4f96f68f1318,32095,14032,30126,NA,21251,6344,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ndxf3a1bzr60qmrpyy3n"
2021,ARI,CB,NA,39,Active,Jace Whittaker,Jace,Whittaker,1995-07-16,71,185,Arizona,Oceanside (CA),00-0036043,3821572,528bf5c9-1d23-40c3-adda-df21f8f0e2ab,33089,14793,50465,WhitJa05,22171,7169,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zuggew2orqnkxkrrytxs"
2021,ARI,CB,NA,24,Active,Bashaud Breeland,Bashaud,Breeland,1992-01-30,71,197,Clemson,Allendale-Fairfax (SC),00-0031052,16890,ba905b34-8412-4553-9055-3460368cc608,27630,9648,8737,BreeBa00,16407,2091,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wc7lhp4kgbjfcojfe2pi"
2021,ARI,CB,NA,27,Active,Kevin Peterson,Kevin,Peterson,1994-03-22,71,179,Oklahoma State,Wagoner (OK),00-0032848,2977742,30e539c3-74dd-4a9a-9ebb-4bdd0f0d39f8,29924,11101,11302,PeteKe01,18293,3527,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zxah6cxxtk8knftopqym"
2021,ARI,CB,LCB,20,Inactive,Marco Wilson,Marco,Wilson,1999-03-03,71,187,Florida,American Heritage (FL),00-0036884,NA,409f6cf2-cfd2-4712-80a2-9a62e0ad75c4,NA,15313,55592,WilsMa04,NA,7708,0,NA
2021,ARI,CB,NA,43,Active,Isaiah Johnson,Isaiah,Johnson,1995-12-20,74,210,Houston,Rudder (TX),00-0034980,3126182,079575a5-029c-4960-bd45-66cd63f659fb,31961,13793,48233,JohnIs02,20833,5951,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q6xpk6vkdvmks3u9e5ul"
