gsis_id,pff_id
00-0014619,10
00-0013268,11
00-0017277,13
00-0005106,14
00-0016599,15
00-0010632,18
00-0010668,19
00-0016924,21
00-0017592,22
00-0011551,30
00-0008442,31
00-0001361,36
00-0015795,40
00-0001887,41
00-0014811,45
00-0010188,46
00-0011958,47
00-0002110,51
00-0006268,52
00-0018503,55
00-0002068,56
00-0006355,58
00-0000849,59
00-0009443,62
00-0010455,63
00-0015830,66
00-0016505,67
00-0017698,69
00-0010872,71
00-0004293,72
00-0018405,73
00-0000065,74
00-0006034,75
00-0005736,76
00-0015668,78
00-0002099,80
00-0010577,81
00-0000217,84
00-0001669,86
00-0007030,89
00-0016956,90
00-0005589,93
00-0002312,94
00-0011915,95
00-0001058,99
00-0006459,104
00-0006708,105
00-0008202,106
00-0010717,107
00-0013322,108
00-0013694,110
00-0015290,111
00-0017200,112
00-0011024,114
00-0003292,115
00-0002742,116
00-0005720,117
00-0001661,118
00-0014358,119
00-0002041,120
00-0013102,123
00-0009687,124
00-0002102,125
00-0001833,126
00-0017637,129
00-0005101,130
00-0003315,131
00-0007254,134
00-0003663,136
00-0014450,141
00-0010747,142
00-0016485,144
00-0005263,145
00-0003970,147
00-0007576,148
00-0013080,151
00-0017585,152
00-0008561,153
00-0013644,154
00-0012322,155
00-0006043,156
00-0000352,158
00-0007007,159
00-0009163,161
00-0007024,162
00-0009137,163
00-0007051,164
00-0011770,165
00-0009889,167
00-0016550,169
00-0000251,170
00-0011326,171
00-0011795,173
00-0008265,174
00-0016263,175
00-0006063,176
00-0004915,177
00-0004637,178
00-0008664,179
00-0003400,180
00-0004073,181
00-0011186,182
00-0012293,183
00-0002123,187
00-0012478,188
00-0005293,189
00-0004757,190
00-0003874,191
00-0004052,192
00-0014169,193
00-0001427,196
00-0003231,198
00-0007744,199
00-0011266,200
00-0016916,202
00-0016344,203
00-0006051,204
00-0014116,206
00-0013780,207
00-0004901,209
00-0005155,210
00-0007357,214
00-0007835,215
00-0008075,216
00-0009311,217
00-0012642,221
00-0015744,224
00-0016271,225
00-0016919,226
00-0017638,227
00-0012485,229
00-0015495,230
00-0008894,232
00-0007468,233
00-0005082,234
00-0011905,235
00-0004640,236
00-0006101,237
00-0009612,238
00-0006042,239
00-0018351,240
00-0014539,242
00-0013282,243
00-0000745,245
00-0010699,247
00-0013042,248
00-0004304,249
00-0010264,250
00-0010031,251
00-0017670,252
00-0011372,254
00-0003902,255
00-0014724,258
00-0003140,260
00-0000741,261
00-0015523,262
00-0016610,263
00-0016112,264
00-0015151,266
00-0001176,267
00-0016960,268
00-0010500,271
00-0013888,272
00-0016660,273
00-0012689,274
00-0014991,275
00-0009001,279
00-0000576,281
00-0006915,282
00-0011224,284
00-0016061,286
00-0014775,287
00-0008124,288
00-0015781,291
00-0010333,292
00-0005150,293
00-0015420,294
00-0000108,295
00-0000374,296
00-0000552,297
00-0001222,298
00-0001545,299
00-0003547,302
00-0004161,303
00-0005366,304
00-0005432,305
00-0006777,308
00-0007661,309
00-0009305,310
00-0009357,311
00-0009810,312
00-0010535,316
00-0013141,319
00-0013845,321
00-0018925,322
00-0016440,323
00-0017077,325
00-0017899,326
00-0010346,327
00-0017813,328
00-0016990,329
00-0018227,330
00-0018131,331
00-0004851,332
00-0016098,333
00-0015577,334
00-0016334,335
00-0001820,336
00-0015474,337
00-0014891,339
00-0007611,340
00-0011754,342
00-0017930,344
00-0003897,345
00-0005058,346
00-0011053,348
00-0002919,350
00-0012614,351
00-0003105,352
00-0000045,354
00-0007115,357
00-0015915,358
00-0009106,359
00-0013995,360
00-0017399,361
00-0000166,362
00-0018168,363
00-0008962,365
00-0012042,366
00-0000865,367
00-0009472,369
00-0009978,370
00-0016624,372
00-0006305,374
00-0006072,375
00-0015477,376
00-0014071,377
00-0006423,379
00-0017162,380
00-0010966,381
00-0013013,382
00-0006627,383
00-0011886,385
00-0014260,387
00-0005031,388
00-0000743,389
00-0004673,390
00-0016577,391
00-0014504,392
00-0014902,395
00-0014063,396
00-0012381,397
00-0013535,398
00-0016972,399
00-0001627,400
00-0004505,401
00-0001263,404
00-0007091,408
00-0017611,411
00-0014255,412
00-0009992,414
00-0003838,420
00-0003888,421
00-0004091,422
00-0005231,423
00-0005322,424
00-0007375,426
00-0008225,427
00-0014375,431
00-0014655,432
00-0015468,433
00-0017621,436
00-0018137,437
00-0011022,438
00-0008241,439
00-0017915,440
00-0007681,441
00-0000585,442
00-0010634,445
00-0003739,446
00-0016021,448
00-0010840,449
00-0009056,450
00-0018234,451
00-0012879,453
00-0004808,454
00-0014776,455
00-0018093,456
00-0002138,458
00-0009173,459
00-0017998,460
00-0012871,463
00-0008271,464
00-0014132,465
00-0001388,467
00-0009119,468
00-0009323,469
00-0005091,470
00-0004046,471
00-0016431,472
00-0013232,473
00-0016310,475
00-0013471,476
00-0005596,477
00-0016659,479
00-0007213,481
00-0004242,482
00-0014148,483
00-0013126,484
00-0015725,485
00-0001477,487
00-0002565,488
00-0012991,489
00-0002159,491
00-0010944,492
00-0012333,493
00-0017410,496
00-0011945,497
00-0015754,498
00-0007586,499
00-0015080,500
00-0013255,501
00-0003338,502
00-0008115,503
00-0018308,506
00-0011803,508
00-0001823,509
00-0016677,513
00-0000846,516
